STT,Học phần,Số tín chỉ,Điểm(Thang điểm 10),Lần 2,Bằng chữ
1,Đại số tuyến tính,3,5.2,-1,Năm phảy hai 
2,Triết học Mác- Lênin,3,7.6,-1,Bảy phảy sáu 
3,Tin học đại cương,3,6.5,-1,Sáu phảy năm 
4,Kỹ năng mềm,2,7.4,-1,Bảy phảy bốn 
5,Giải tích 1,3,5.9,-1,Năm phảy chín 
6,Vật lý điện từ,3,6.6,-1,Sáu phảy sáu 
7,Lập trình nâng cao,3,3.6,5.3,Năm phảy ba 
8,Kinh tế chính trị Mác- Lênin,2,5.2,-1,Năm phảy hai 
9,Giải tích 2,3,6.2,-1,Sáu phảy hai 
10,Chủ nghĩa xã hội khoa học,2,8.9,-1,Tám phảy chín 
11,Tư tưởng Hồ Chí Minh,2,3.1,5.8,Năm phảy tám 
12,Toán rời rạc,3,3.6,7.9,Bảy phảy chín 
13,Thiết kế web,3,4.0,8.3,Tám phảy ba 
14,Lập trình hướng đối tượng,3,5.9,-1,Năm phảy chín 
15,Kiến trúc và tổ chức máy tính,3,5.8,-1,Năm phảy tám 
16,Cấu trúc dữ liệu và giải thuật,3,6.3,-1,Sáu phảy ba 
17,Bảo trì hệ thống,2,6.3,-1,Sáu phảy ba 
18,Công nghệ Java,3,8.5,-1,Tám phảy năm 
19,Cơ sở dữ liệu,3,5.7,-1,Năm phảy bảy 
20,Hệ điều hành,3,6.7,-1,Sáu phảy bảy 
21,Phân tích thiết kế thuật toán,3,8.3,-1,Tám phảy ba 
22,Xác suất thống kê,2,5.8,-1,Năm phảy tám 
23,Lịch sử Đảng Cộng sản Việt Nam,2,7.4,-1,Bảy phảy bốn 
24,Tiếng Anh B1,4,8.1,-1,Tám phảy một 
25,Thuật toán và ứng dụng,3,7.9,-1,Bảy phảy chín 
26,Thiết kế cơ sở dữ liệu,2,7.7,-1,Bảy phảy bảy 
27,Phân tích thiết kế hệ thống,3,7.9,-1,Bảy phảy chín 
28,Mạng máy tính,3,6.0,-1,Sáu phảy không 
29,Lập trình trực quan,3,9.2,-1,Chín phảy hai 
30,Tiếng anh chuyên ngành,3,8.2,-1,Tám phảy hai 
31,Thực tập chuyên môn,3,6.0,-1,Sáu phảy không 
32,Lập trình thiết bị di động,3,4.6,-1,Bốn phảy sáu 
33,Lập trình web,3,6.8,-1,Sáu phảy tám 
34,Lập trình sử dụng API,3,7.5,-1,Bảy phảy năm 
35,Lập trình mạng,3,4.9,-1,Bốn phảy chín 
36,An toàn bảo mật thông tin,3,7.0,-1,Bảy phảy không 
37,Trí tuệ nhân tạo,3,6.3,-1,Sáu phảy ba 
38,Đặc tả phần mềm,3,8.1,-1,Tám phảy một 
39,Khai phá dữ liệu,3,7.0,-1,Bảy phảy không 
40,Phân tích thiết kế hướng đối tượng,3,7.3,-1,Bảy phảy ba 
41,Chuyên đề về công nghệ phần mềm,3,8.0,-1,Tám phảy không 
42,An ninh mạng,3,7.7,-1,Bảy phảy bảy 
43,Đồ án tốt nghiệp,10,8.5,-1,Tám phảy năm 
44,Thực tập tốt nghiệp,2,9.3,-1,Chín phảy ba 
